user_id,product_id,Interaction_duration,Interaction_type,user_name,gender,age,product_name,ratings,no_of_ratings,discount_price,actual_price,accessories,appliances,home & kitchen,sports & fitness,women's clothing,main_category_encoded,sub_category_encoded
1,41934,23.5,1,Vojtěch Plát,1,22,Bellina Women's Clutch (Black +cream clutch_Multicolored),3.4,385,329,999,1,1,1,0,0,0,4
1,258,64.0,0,Vojtěch Plát,1,22,"LG 1 Ton 3 Star Split Dual Inverter AC - White (MS-Q12ENXA, Copper Condenser)",5.0,5,"35,490","54,990",1,1,1,0,0,1,0
2,292777,15.89,1,PlayMagnus Carlsen,0,21,Longwalk Men's Sports Running Shoes Outdoor Lightweight Gym Shoes,4.5,4,599,"1,599",1,1,0,1,0,6,24
2,292783,22.5,0,PlayMagnus Carlsen,0,21,Shreds Men Badminton Sports Shoes White,5.0,2,"1,099","1,899",1,1,0,1,0,6,24
3,328531,154.2167,0,Magnus Carlsen,1,20,Columbia,4.5,126,"12,749","14,999",1,0,0,1,1,11,28
3,328516,1668.285,2,Magnus Carlsen,1,20,"High-Buy Women’s Loose Fit Jeans, Slouchy Jeans for Mom, Relaxed Denim Jeans, Balloon Fit, Black Color Mom Jeans",5.0,1,999,"1,999",1,0,0,1,1,11,28
3,328576,2.666667,1,Magnus Carlsen,1,20,Aurelia Women Maxi Skirt,4.5,6,599,"1,999",1,0,0,1,1,11,28
4,6753,627.5,1,Fabiano Caruana,0,21,Whirlpool Top Load Semi Automatic Washing Machine Spin Cap/Dryer Cover (24.5 cm),3.0,4,169,199,0,1,1,0,1,1,1
4,6772,825.3,2,Fabiano Caruana,0,21,MOONSTRUCK Anti-Corrioson Waterproof Copper ISI MARKED 1500 W Immersion Heater Rod | Immersion Shock Proof Rod For Home an...,4.8,9,399,"1,499",0,1,1,0,1,1,1
5,21713,110.98,1,Iuri Shkuro,1,67,"Decor Style |Size - XXXL, Brown-Color | Bean Bag with Relaxing Footstool with Filled Beans",4.9,17,"1,899","4,999",0,1,1,0,0,3,2
5,21701,154.2167,1,Iuri Shkuro,1,67,"Care N Made® PP Spun pre Filter 10"" with Spanner- 1 Year self Service ro Water Purifier kit - for All Domestic RO Water Pu...",3.5,20,199,299,0,1,1,0,0,3,2
6,328665,222.5,2,Hikaru Nakamura,1,24,Trufit Women's Polyester Full Sleeve Jacket,3.8,61,"2,097","3,295",0,1,1,0,1,11,28
7,131078,189.7,1,Garry Kasparov,1,23,ZAVERI PEARLS Green & Pink Stones Traditional Pearls Choker Necklace & Earring Set For Women-ZPFK9554,5.0,1,458,"2,300",1,1,0,1,0,0,9
7,131079,22.5,0,Garry Kasparov,1,23,Yellow Chimes Hair Clips for Women Girls Barrette Hair Clips for Women Hair Accessories for Women Bow Clips for Women Blue...,5.0,1,222,855,1,1,0,1,0,0,9
7,131080,49.7,0,Garry Kasparov,1,23,Vembley Stunning Gold Plated Double Layered Babygirl Alphabet Word Pendant Necklace for Women and Girls,5.0,3,196,"1,499",1,1,0,1,0,0,9
8,21524,37.0,1,Viswanathan Anand,0,20,Drake Self Draining Organizer Spoon Spatula Chopsticks Brush Holder Kitchen Draining Rack Storage Tools,4.0,72,160,799,0,0,1,1,0,3,2
8,21525,89.4,1,Viswanathan Anand,0,20,"P-Plus International Placemats Place Mats for Kitchen Dining Table, Heat-Resistant StainAnti-Skid Washable PVC Table Mats,...",4.3,293,521,999,0,0,1,1,0,3,2
8,21526,53.6,0,Viswanathan Anand,0,20,"Wakefit Pregnancy Pillows for Sleeping | 3 Month Warranty | Pregnancy Pillow, Maternity Pillow, Pregnancy Pillow for Pregn...",4.4,40,"1,348","1,999",0,0,1,1,0,3,2
